rank,title,Previous Rank,Revenues ($M),Revenue Change,Profits ($M),Profit Change,Assets ($M),Mkt Value as of 3/29/18 ($M),Employees,CEO,CEO Title,Sector,Industry,Years on Fortune 500 List,City,State,Latitude,Longitude
31,Valero Energy,37,88407 ,26.00%,4065.00 ,77.60%,50158 ,39977 ,10015,Joseph W. Gorder,"Chairman, President &  Chief Executive Officer",Energy,Petroleum Refining,20,San Antonio,TX,29.4241219,-98.4936282
32,Citigroup,30,87966 ,6.80%,(6798.00),-145.60%,1842465 ,172822 ,209000,Michael L. Corbat,Chairman &  Chief Executive Officer,Financials,Commercial Banks,24,New York,NY,40.7127753,-74.0059728
33,Comcast,31,84526 ,5.10%,22714.00 ,161.20%,186949 ,158703 ,164000,Brian L. Roberts,"Chairman, President &  Chief Executive Officer",Telecommunications,Telecommunications,23,Philadelphia,PA,39.9525839,-75.1652215
34,IBM,32,79139 ,-1.00%,5753.00 ,-51.50%,125356 ,141335 ,397800,Virginia M. Rometty,"Chairman, President &  Chief Executive Officer",Technology,Information Technology Services,24,Armonk,NY,41.1264849,-73.71401949999999
35,Dell Technologies,41,78660 ,21.40%,(3728.00),-,122281 ,-,145000,Michael S. Dell,Chairman &  Chief Executive Officer,Technology,"Computers, Office Equipment",21,Round Rock,TX,30.508255100000003,-97.678896
36,State Farm Insurance Cos.,33,78331 ,2.90%,2206.50 ,529.90%,272345 ,-,65664,Michael L. Tipsord,"Chairman, President &  Chief Executive Officer",Financials,Insurance: Property and Casualty (Mutual),24,Bloomington,IL,40.4842027,-88.9936873
37,Johnson & Johnson,35,76450 ,6.30%,1300.00 ,-92.10%,157303 ,343780 ,134000,Alex Gorsky,Chairman &  Chief Executive Officer,Health Care,Pharmaceuticals,24,New Brunswick,NJ,40.4862157,-74.4518188
38,Freddie Mac,39,74676 ,13.70%,5625.00 ,-28.00%,2049776 ,878 ,6165,Donald H. Layton,Chairman &  Chief Executive Officer,Financials,Diversified Financials,21,McLean,VA,38.933867600000006,-77.17726040000001
39,Target,38,71879 ,3.40%,2934.00 ,7.20%,38999 ,37409 ,345000,Brian C. Cornell,Chairman &  Chief Executive Officer,Retailing,General Merchandisers,24,Minneapolis,MN,44.977753,-93.2650108
40,Lowes,40,68619 ,5.50%,3447.00 ,11.40%,35291 ,72812 ,255000,Robert A. Niblock,"Chairman, President &  Chief Executive Officer",Retailing,Specialty Retailers: Other,24,Mooresville,NC,35.5848596,-80.81007240000001
41,Marathon Petroleum,51,67610 ,21.00%,3432.00 ,192.30%,49047 ,34683 ,43800,Gary R. Heminger,Chairman &  Chief Executive Officer,Energy,Petroleum Refining,7,Findlay,OH,41.04422,-83.6499321
42,Procter & Gamble,36,66217 ,-7.70%,15326.00 ,45.90%,120406 ,199865 ,95000,David S. Taylor,"Chairman, President &  Chief Executive Officer",Household Products,Household and Personal Products,24,Cincinnati,OH,39.103118200000004,-84.5120196
43,MetLife,42,66153 ,4.20%,4010.00 ,401.30%,719892 ,47572 ,49000,Steven A. Kandarian,"Chairman, President &  Chief Executive Officer",Financials,"Insurance: Life, Health (stock)",24,New York,NY,40.7127753,-74.0059728
44,UPS,46,65872 ,8.20%,4910.00 ,43.10%,45403 ,90156 ,346415,David P. Abney,Chairman &  Chief Executive Officer,Transportation,"Mail, Package, and Freight Delivery",24,Atlanta,GA,33.7489954,-84.3879824
45,PepsiCo,44,63525 ,1.20%,4857.00 ,-23.30%,79804 ,154933 ,263000,Indra K. Nooyi,Chairman &  Chief Executive Officer,"Food, Beverages &  Tobacco",Food Consumer Products,24,Harrison,NY,41.0400135,-73.71444770000001
46,Intel,47,62761 ,5.70%,9601.00 ,-6.90%,123249 ,243109 ,102700,Robert H. Swan,Chairman &  Chief Executive Officer,Technology,Semiconductors and Other Electronic Components,24,Santa Clara,CA,37.354107899999995,-121.9552356
47,DowDuPont,62,62683 ,30.20%,1460.00 ,-66.20%,192164 ,148186 ,98000,Edward D. Breen,Chief Executive Officer,Chemicals,Chemicals,24,Midland,Michigan,43.623574,-84.232105
48,Archer Daniels Midland,45,60828 ,-2.40%,1595.00 ,24.70%,39963 ,24238 ,31300,Juan R. Luciano,"Chairman, President &  Chief Executive Officer","Food, Beverages &  Tobacco",Food Production,24,Chicago,IL,41.8781136,-87.62979820000001
49,Aetna,43,60535 ,-4.10%,1904.00 ,-16.20%,55151 ,55229 ,47950,Mark T. Bertolini,Chairman &  Chief Executive Officer,Health Care,Health Care: Insurance and Managed Care,18,Hartford,CT,41.76580429999999,-72.6733723
50,FedEx,58,60319 ,19.80%,2997.00 ,64.70%,48552 ,64161 ,357000,Frederick W. Smith,Chairman &  Chief Executive Officer,Transportation,"Mail, Package, and Freight Delivery",24,Memphis,TN,35.1495343,-90.0489801
51,United Technologies,50,59837 ,4.50%,4552.00 ,-10.00%,96920 ,100667 ,204700,Gregory J. Hayes,"Chairman, President &  Chief Executive Officer",Aerospace &  Defense,Aerospace and Defense,24,Farmington,CT,41.7360305,-72.795027
52,Prudential Financial,48,59689 ,1.50%,7863.00 ,80.00%,831921 ,43686 ,49705,John R. Strangfeld,"Chairman, President &  Chief Executive Officer",Financials,"Insurance: Life, Health (stock)",24,Newark,NJ,40.735657,-74.1723667
53,Albertsons Cos.,49,59678 ,1.60%,(373.30),-,23755 ,-,273000,Robert G. Miller,Chairman &  Chief Executive Officer,Food &  Drug Stores,Food and Drug Stores,14,Boise,ID,43.6150186,-116.2023137
54,Sysco,57,55371 ,9.90%,1142.50 ,20.30%,17757 ,31294 ,66500,Thomas L. Benï¿½,"President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Food and Grocery,24,Houston,TX,29.7604267,-95.36980279999999
55,Disney,52,55137 ,-0.90%,8980.00 ,-4.40%,95789 ,151029 ,199000,Robert A. Iger,Chairman &  Chief Executive Officer,Media,Entertainment,24,Burbank,CA,34.18083920000001,-118.30896609999998
56,Humana,53,53767 ,-1.10%,2448.00 ,298.70%,27178 ,37122 ,45900,Bruce D. Broussard,"President, Chief Executive Officer &  Director",Health Care,Health Care: Insurance and Managed Care,24,Louisville,KY,38.252664700000004,-85.7584557
57,Pfizer,54,52546 ,-0.50%,21308.00 ,195.30%,171797 ,211115 ,90200,Ian C. Read,Chairman &  Chief Executive Officer,Health Care,Pharmaceuticals,24,New York,NY,40.7127753,-74.0059728
58,HP,61,52056 ,7.90%,2526.00 ,1.20%,32913 ,35893 ,49000,Dion J. Weisler,"President, Chief Executive Officer &  Director",Technology,"Computers, Office Equipment",24,Palo Alto,CA,37.441883399999995,-122.14301950000001
59,Lockheed Martin,56,51048 ,0.80%,2002.00 ,-62.20%,46521 ,96589 ,100000,Marillyn A. Hewson,"Chairman, President &  Chief Executive Officer",Aerospace &  Defense,Aerospace and Defense,24,Bethesda,MD,38.984652000000004,-77.09470920000001
60,AIG,55,49520 ,-5.40%,(6084.00),-,498301 ,49145 ,49800,Brian Duperreault,"President, Chief Executive Officer &  Director",Financials,Insurance: Property and Casualty (Stock),24,New York,NY,40.7127753,-74.0059728
61,Centene,66,48572 ,19.30%,828.00 ,47.30%,21855 ,18704 ,33700,Michael F. Neidorff,Chairman &  Chief Executive Officer,Health Care,Health Care: Insurance and Managed Care,9,St. Louis,MO,38.6270025,-90.1994042
62,Cisco Systems,60,48005 ,-2.50%,9609.00 ,-10.50%,129818 ,206623 ,72900,Charles H. Robbins,Chairman &  Chief Executive Officer,Technology,Network and Other Communications Equipment,22,San Jose,CA,37.338208200000004,-121.88632859999998
63,HCA Healthcare,63,47653 ,6.50%,2216.00 ,-23.30%,36593 ,34165 ,221491,R. Milton Johnson,Chairman &  Chief Executive Officer,Health Care,Health Care: Medical Facilities,24,Nashville,TN,36.1626638,-86.78160159999999
64,Energy Transfer Equity,79,47487 ,26.60%,954.00 ,-4.10%,86246 ,15335 ,29486,John W. McReynolds,President &  Director,Energy,Pipelines,12,Dallas,TX,32.7766642,-96.7969879
65,Caterpillar,74,45462 ,18.00%,754.00 ,-,76962 ,88078 ,98400,D. James Umpleby III,Chairman &  Chief Executive Officer,Industrials,Construction and Farm Machinery,24,Deerfield,IL,42.171136499999996,-87.8445119
66,Nationwide,68,43940 ,9.60%,246.50 ,-26.20%,221257 ,-,33135,Stephen S. Rasmussen,Chief Executive Officer,Financials,Insurance: Property and Casualty (Mutual),24,Columbus,OH,39.9611755,-82.9987942
67,Morgan Stanley,76,43642 ,15.00%,6111.00 ,2.20%,851733 ,96688 ,57633,James P. Gorman,Chairman &  Chief Executive Officer,Financials,Commercial Banks,24,New York,NY,40.7127753,-74.0059728
68,Liberty Mutual Insurance Group,75,42687 ,11.40%,17.00 ,-98.30%,142502 ,-,50000,David H. Long,"Chairman, President &  Chief Executive Officer",Financials,Insurance: Property and Casualty (Stock),24,Boston,MA,42.360082500000004,-71.0588801
69,New York Life Insurance,65,42296 ,3.70%,1866.90 ,71.60%,303183 ,-,11114,Theodore A. Mathas,Chairman &  Chief Executive Officer,Financials,"Insurance: Life, Health (Mutual)",24,New York,NY,40.7127753,-74.0059728
70,Goldman Sachs Group,78,42254 ,12.00%,4286.00 ,-42.10%,916776 ,95463 ,36600,Lloyd C. Blankfein,Chairman &  Chief Executive Officer,Financials,Commercial Banks,19,New York,NY,40.7127753,-74.0059728
71,American Airlines Group,67,42207 ,5.00%,1919.00 ,-28.30%,51396 ,24584 ,126600,W. Douglas Parker,Chairman &  Chief Executive Officer,Transportation,Airlines,24,Fort Worth,TX,32.7554883,-97.3307658
72,Best Buy,72,42151 ,7.00%,1000.00 ,-18.60%,13049 ,20460 ,125000,Hubert B. Joly,Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Other,24,Richfield,MN,44.8832982,-93.28300209999999
73,Cigna,70,41616 ,4.90%,2237.00 ,19.80%,61753 ,40735 ,46000,David M. Cordani,"President, Chief Executive Officer &  Director",Health Care,Health Care: Insurance and Managed Care,24,Bloomfield,CT,41.826488,-72.73009449999999
74,Charter Communications,96,41581 ,43.40%,9895.00 ,180.90%,146623 ,80954 ,94800,Thomas M. Rutledge,Chairman &  Chief Executive Officer,Telecommunications,Telecommunications,18,Stamford,CT,41.0534302,-73.53873409999999
75,Delta Air Lines,71,41244 ,4.00%,3577.00 ,-18.20%,53292 ,38746 ,86564,Edward H. Bastian,Chairman &  Chief Executive Officer,Transportation,Airlines,24,Atlanta,GA,33.7489954,-84.3879824
76,Facebook,98,40653 ,47.10%,15934.00 ,56.00%,84524 ,464190 ,25105,Mark Zuckerberg,Chairman &  Chief Executive Officer,Technology,Internet Services and Retailing,6,Menlo Park,CA,37.4529598,-122.1817252
77,Honeywell International,73,40534 ,3.10%,1655.00 ,-65.60%,59387 ,108149 ,131000,Darius Adamczyk,"President, Chief Executive Officer &  Director",Industrials,"Electronics, Electrical Equip.",24,Morris Plains,NJ,40.839592200000006,-74.4818698
78,Merck,69,40122 ,0.80%,2394.00 ,-38.90%,87872 ,146862 ,69000,Kenneth C. Frazier,"Chairman, President &  Chief Executive Officer",Health Care,Pharmaceuticals,24,Kenilworth,NJ,40.6764911,-74.2907032
79,Allstate,84,38524 ,5.40%,3189.00 ,69.90%,112422 ,33478 ,42680,Thomas J. Wilson,"Chairman, President &  Chief Executive Officer",Financials,Insurance: Property and Casualty (Stock),23,Northbrook,IL,42.127526700000004,-87.82895479999999
80,Tyson Foods,82,38260 ,3.70%,1774.00 ,0.30%,28066 ,29233 ,122000,Thomas P. Hayes,"President, Chief Executive Officer &  Director","Food, Beverages &  Tobacco",Food Production,24,Springdale,AR,36.18674420000001,-94.1288141
81,United Continental Holdings,83,37736 ,3.20%,2131.00 ,-5.80%,42326 ,19778 ,89800,Oscar Munoz,Chairman &  Chief Executive Officer,Transportation,Airlines,24,Chicago,IL,41.8781136,-87.62979820000001
82,Oracle,81,37728 ,1.80%,9335.00 ,4.90%,134991 ,186766 ,138000,Safra A. Catz/Mark V. Hurd,Co-Chief Executive Officer &  Director,Technology,Computer Software,23,Redwood City,CA,37.4852152,-122.2363548
83,Tech Data,107,36775 ,40.20%,116.60 ,-40.20%,12653 ,3249 ,14000,Richard T. Hume,Chairman &  Chief Executive Officer,Wholesalers,Wholesalers: Electronics and Office Equipment,24,Clearwater,FL,27.9658533,-82.8001026
84,TIAA,80,36025 ,-2.90%,1049.70 ,-29.70%,583632 ,-,16829,Roger W. Ferguson Jr.,"President, Chief Executive Officer &  Director",Financials,"Insurance: Life, Health (Mutual)",21,New York,NY,40.7127753,-74.0059728
85,TJX,87,35865 ,8.10%,2607.90 ,13.50%,14058 ,51571 ,249000,Ernie L. Herrman,"President, Chief Executive Officer &  Director",Retailing,Specialty Retailers: Apparel,24,Framingham,MA,42.279286,-71.4161565
86,American Express,86,35583 ,5.20%,2736.00 ,-49.40%,181159 ,80234 ,55000,Stephen J. Squeri,Chairman &  Chief Executive Officer,Financials,Diversified Financials,24,New York,NY,40.7127753,-74.0059728
87,Coca-Cola,64,35410 ,-15.40%,1248.00 ,-80.90%,87896 ,185207 ,61800,James R. Quincey,"President, Chief Executive Officer &  Director","Food, Beverages &  Tobacco",Beverages,24,Atlanta,GA,33.7489954,-84.3879824
88,Publix Super Markets,85,34837 ,1.60%,2291.90 ,13.10%,18184 ,-,193000,Randall T. Jones Sr.,"President, Chief Executive Officer &  Director",Food &  Drug Stores,Food and Drug Stores,24,Lakeland,FL,28.039465399999997,-81.9498042
89,Nike,88,34350 ,6.10%,4240.00 ,12.80%,23259 ,108094 ,74400,Mark G. Parker,"Chairman, President &  Chief Executive Officer",Apparel,Apparel,24,Beaverton,OR,45.4887993,-122.80133319999999
90,Andeavor,117,34204 ,42.50%,1528 ,108.20%,28573 ,15386 ,14300,Gregory J. Goff,"Chairman, President &  Chief Executive Officer",Energy,Petroleum Refining,19,San Antonio,TX,29.4241219,-98.4936282
91,World Fuel Services,103,33696 ,24.70%,(170.20),-234.50%,5588 ,1661 ,5000,Michael J. Kasbar,Chairman &  Chief Executive Officer,Energy,Energy,14,Miami,FL,25.7616798,-80.1917902
92,Exelon,89,33531 ,6.90%,3770.00 ,232.50%,116700 ,37644 ,34621,Christopher M. Crane,"President, Chief Executive Officer &  Director",Energy,Utilities: Gas and Electric,24,Chicago,IL,41.8781136,-87.62979820000001
93,Massachusetts Mutual Life Insurance,77,33495 ,-11.40%,513.00 ,-59.70%,288855 ,-,11811,Roger W. Crandall,"Chairman, President &  Chief Executive Officer",Financials,"Insurance: Life, Health (Mutual)",24,Springfield,MA,42.1014831,-72.589811
94,Rite Aid,91,32845 ,6.90%,4.10 ,-97.60%,11594 ,1793 ,70430,John T. Standley,Chairman &  Chief Executive Officer,Food &  Drug Stores,Food and Drug Stores,24,Camp Hill,PA,40.2398118,-76.91997420000001
95,ConocoPhillips,115,32584 ,33.80%,(855.00),-,73362 ,69641 ,11400,Ryan M. Lance,Chairman &  Chief Executive Officer,Energy,"Mining, Crude-Oil Production",24,Houston,TX,29.7604267,-95.36980279999999
96,CHS,93,31935 ,5.20%,127.90 ,-69.90%,15974 ,-,11626,Jay D. Debertin,"President, Chief Executive Officer &  Director","Food, Beverages &  Tobacco",Food Production,19,Inver Grove Heights,MN,44.8480218,-93.0427153
97,3M,94,31657 ,5.10%,4858.00 ,-3.80%,37987 ,130550 ,91536,Inge G. Thulin,"Chairman, President &  Chief Executive Officer",Industrials,Miscellaneous,24,St Paul,MN,44.953702899999996,-93.0899578
98,Time Warner,95,31271 ,6.70%,5247.00 ,33.60%,69209 ,73758 ,26000,John Stankey,Chairman &  Chief Executive Officer,Media,Entertainment,19,New York,NY,40.7127753,-74.0059728
99,General Dynamics,90,30973 ,-1.20%,2912.00 ,-1.50%,35046 ,65845 ,98600,Phebe N. Novakovic,Chairman &  Chief Executive Officer,Aerospace &  Defense,Aerospace and Defense,24,Falls Church,VA,38.882334,-77.17109140000001
100,USAA,102,30016 ,10.60%,2421.90 ,36.10%,155391 ,-,32705,Stuart Parker,Chief Executive Officer,Financials,Insurance: Property and Casualty (Stock),24,San Antonio,TX,29.4241219,-98.4936282
101,Capital One Financial,100,29999 ,9.00%,1982.00 ,-47.20%,365693 ,46584 ,49300,Richard D. Fairbank,"Chairman, President &  Chief Executive Officer",Financials,Commercial Banks,19,McLean,VA,38.933867600000006,-77.17726040000001
102,Deere,105,29738 ,11.60%,2159.10 ,41.70%,65786 ,50291 ,60476,Samuel R. Allen,"Chairman, President &  Chief Executive Officer",Industrials,Construction and Farm Machinery,24,Moline,IL,41.5067003,-90.5151342
103,INTL FCStone,189,29424 ,99.40%,6.40 ,-88.30%,6243 ,804 ,1607,Sean M. O'Connor,"President, Chief Executive Officer &  Director",Financials,Diversified Financials,10,New York,NY,40.7127753,-74.0059728
104,Northwestern Mutual,97,29331 ,1.80%,1017.00 ,24.30%,265049 ,-,5437,John E. Schlifske,Chairman &  Chief Executive Officer,Financials,"Insurance: Life, Health (Mutual)",24,Milwaukee,WI,43.0389025,-87.9064736
105,Enterprise Products Partners,122,29242 ,27.00%,2799.30 ,11.40%,54418 ,52904 ,7000,A. James Teague,Chairman &  Chief Executive Officer,Energy,Pipelines,13,Houston,TX,29.7604267,-95.36980279999999
106,Travelers Cos.,99,28902 ,4.60%,2056.00 ,-31.80%,103483 ,37691 ,30800,Alan D. Schnitzer,Chairman &  Chief Executive Officer,Financials,Insurance: Property and Casualty (Stock),24,New York,NY,40.7127753,-74.0059728
107,Hewlett Packard Enterprise,59,28871 ,-42.40%,344.00 ,-89.10%,61406 ,27243 ,66000,Antonio Neri,"President, Chief Executive Officer &  Director",Technology,"Computers, Office Equipment",2,Palo Alto,CA,37.441883399999995,-122.14301950000001
108,Philip Morris International,104,28748 ,7.70%,6035.00 ,-13.40%,42968 ,154514 ,80600,Andrï¿½ Calantzopoulos,Chairman &  Chief Executive Officer,"Food, Beverages &  Tobacco",Tobacco,10,New York,NY,40.7127753,-74.0059728
109,Twenty-First Century Fox,101,28500 ,4.30%,2952.00 ,7.20%,50724 ,67969 ,21700,James R. Murdoch,Chief Executive Officer &  Director,Media,Entertainment,14,New York,NY,40.7127753,-74.0059728
110,AbbVie,111,28216 ,10.10%,5309.00 ,-10.80%,70786 ,150180 ,29000,Richard A. Gonzalez,Chairman &  Chief Executive Officer,Health Care,Pharmaceuticals,5,North Chicago,IL,42.325578,-87.8411818
111,Abbott Laboratories,135,27390 ,31.30%,477.00 ,-65.90%,76250 ,104640 ,99000,Miles D. White,Chairman &  Chief Executive Officer,Health Care,Medical Products and Equipment,24,Lake Bluff,IL,42.304505,-87.89607120000001
112,Progressive,120,26839 ,14.50%,1592.20 ,54.40%,38701 ,35478 ,33656,Susan Patricia Griffith,"President, Chief Executive Officer &  Director",Financials,Insurance: Property and Casualty (Stock),24,Mayfield,OH,41.55199520000001,-81.4392828
113,Arrow Electronics,118,26813 ,12.50%,402.00 ,-23.10%,16463 ,6750 ,18800,Michael J. Long,"Chairman, President &  Chief Executive Officer",Wholesalers,Wholesalers: Electronics and Office Equipment,24,Centennial,CO,39.5807452,-104.87717260000001
114,Kraft Heinz,106,26232 ,-1.00%,10999.00 ,202.80%,120232 ,75920 ,39000,Bernardo Hees,Chief Executive Officer,"Food, Beverages &  Tobacco",Food Consumer Products,24,Pittsburgh,PA,40.440624799999995,-79.9958864
115,Plains GP Holdings,141,26223 ,29.90%,(731.00),-877.70%,26753 ,6328 ,4850,Greg L. Armstrong,Chairman &  Chief Executive Officer,Energy,Pipelines,5,Houston,TX,29.7604267,-95.36980279999999
116,Gilead Sciences,92,26107 ,-14.10%,4628.00 ,-65.70%,70283 ,98298 ,10000,John F. Milligan IV,"President, Chief Executive Officer &  Director",Health Care,Pharmaceuticals,10,San Mateo,CA,37.558546500000006,-122.2710788
117,Mondelez International,109,25896 ,-0.10%,2922.00 ,76.10%,63109 ,62066 ,83000,Dirk Van de Put,Chairman &  Chief Executive Officer,"Food, Beverages &  Tobacco",Food Consumer Products,11,Deerfield,IL,42.171136499999996,-87.8445119
118,Northrop Grumman,114,25803 ,5.30%,2015.00 ,-8.40%,34917 ,60778 ,70000,Wesley G. Bush,Chairman &  Chief Executive Officer,Aerospace &  Defense,Aerospace and Defense,24,Falls Church,VA,38.882334,-77.17109140000001
119,Raytheon,116,25348 ,5.30%,2024.00 ,-8.50%,30860 ,62265 ,64000,Thomas A. Kennedy,Chairman &  Chief Executive Officer,Aerospace &  Defense,Aerospace and Defense,24,Waltham,MA,42.376485200000005,-71.2356113
120,Macys,110,24837 ,-3.70%,1547.00 ,149.90%,19381 ,9065 ,130000,Jeffrey Gennette,Chairman &  Chief Executive Officer,Retailing,General Merchandisers,24,Cincinnati,OH,39.103118200000004,-84.5120196
121,US Foods Holding,124,24147 ,5.40%,444.30 ,111.80%,9037 ,7065 ,25204,Pietro Satriano,"Chairman, President &  Chief Executive Officer",Wholesalers,Wholesalers: Food and Grocery,7,Rosemont,IL,41.9867507,-87.87216020000001
122,U.S. Bancorp,125,23996 ,5.50%,6218.00 ,5.60%,462040 ,83367 ,72402,Andrew J. Cecere,"President, Chief Executive Officer &  Director",Financials,Commercial Banks,20,Minneapolis,MN,44.977753,-93.2650108
123,Dollar General,128,23471 ,6.80%,1539.00 ,23.00%,12517 ,25141 ,129000,Todd J. Vasos,Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Other,20,Goodlettsville,TN,36.3231066,-86.7133302
124,International Paper,133,23302 ,10.50%,2144.00 ,137.20%,33903 ,22063 ,56000,Mark S. Sutton,Chairman &  Chief Executive Officer,Materials,"Packaging, Containers",24,Memphis,TN,35.1495343,-90.0489801
125,Duke Energy,121,23189 ,-0.80%,3059.00 ,42.10%,137914 ,54276 ,29060,Lynn J. Good,"Chairman, President &  Chief Executive Officer",Energy,Utilities: Gas and Electric,24,Charlotte,NC,35.2270869,-80.8431267
126,Southern,145,23031 ,15.80%,842.00 ,-65.60%,111005 ,45024 ,31344,Thomas A. Fanning,"Chairman, President &  Chief Executive Officer",Energy,Utilities: Gas and Electric,24,Atlanta,GA,33.7489954,-84.3879824
127,Marriott International,163,22894 ,34.10%,1372.00 ,75.90%,23948 ,48531 ,177000,Arne M. Sorenson,"President, Chief Executive Officer &  Director","Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",20,Bethesda,MD,38.984652000000004,-77.09470920000001
128,Avnet,108,22872 ,-12.80%,525.30 ,3.70%,9700 ,5009 ,15700,William J. Amelio,Chief Executive Officer &  Director,Wholesalers,Wholesalers: Electronics and Office Equipment,24,Phoenix,AZ,33.4483771,-112.07403729999999
129,Eli Lilly,132,22871 ,7.80%,(204.10),-107.50%,44981 ,84542 ,40655,David A. Ricks,"Chairman, President &  Chief Executive Officer",Health Care,Pharmaceuticals,24,Indianapolis,IN,39.768403,-86.158068
130,Amgen,123,22849 ,-0.60%,1979.00 ,-74.40%,79954 ,122842 ,20800,Robert A. Bradway,"Chairman, President &  Chief Executive Officer",Health Care,Pharmaceuticals,19,Thousand Oaks,CA,34.1705609,-118.83759369999999
131,McDonalds,112,22820 ,-7.30%,5192.30 ,10.80%,33804 ,124244 ,235000,Stephen J. Easterbrook,"President, Chief Executive Officer &  Director","Hotels, Restaurants &  Leisure",Food Services,24,Oak Brook,IL,41.8397865,-87.9535534
132,Starbucks,131,22387 ,5.00%,2884.70 ,2.40%,14366 ,81370 ,277000,Keven R. Johnson,"President, Chief Executive Officer &  Director","Hotels, Restaurants &  Leisure",Food Services,16,Seattle,WA,47.6062095,-122.33207079999998
